"No.","Time","Source","Destination","Protocol","Length","Info"
"176","08:34:42.714785","131.180.164.100","131.180.161.99","TCP","54","49520  >  1947 [ACK] Seq=928 Ack=17552 Win=262656 Len=0"
"177","08:34:42.717196","131.180.164.100","131.180.161.99","TCP","54","49520  >  1947 [FIN, ACK] Seq=928 Ack=17552 Win=262656 Len=0"
"178","08:34:42.717603","131.180.161.99","131.180.164.100","TCP","60","1947  >  49520 [ACK] Seq=17552 Ack=929 Win=131328 Len=0"
"179","08:34:42.717771","131.180.164.100","131.180.190.41","TCP","66","49521  >  1947 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"180","08:34:42.718851","131.180.190.41","131.180.164.100","TCP","66","1947  >  49521 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"181","08:34:42.718953","131.180.164.100","131.180.190.41","TCP","54","49521  >  1947 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"182","08:34:42.719067","131.180.164.100","131.180.190.41","HTTP","981","POST /api HTTP/1.1  (text/plain)"
"183","08:34:42.720438","131.180.190.41","131.180.164.100","TCP","1514","1947  >  49521 [ACK] Seq=1 Ack=928 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"184","08:34:42.720438","131.180.190.41","131.180.164.100","TCP","1514","1947  >  49521 [ACK] Seq=1461 Ack=928 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"185","08:34:42.720438","131.180.190.41","131.180.164.100","TCP","1514","1947  >  49521 [ACK] Seq=2921 Ack=928 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"186","08:34:42.720438","131.180.190.41","131.180.164.100","TCP","1514","1947  >  49521 [ACK] Seq=4381 Ack=928 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"187","08:34:42.720438","131.180.190.41","131.180.164.100","TCP","1514","1947  >  49521 [ACK] Seq=5841 Ack=928 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"188","08:34:42.720438","131.180.190.41","131.180.164.100","TCP","1514","1947  >  49521 [ACK] Seq=7301 Ack=928 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"189","08:34:42.720438","131.180.190.41","131.180.164.100","TCP","1514","1947  >  49521 [ACK] Seq=8761 Ack=928 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"190","08:34:42.720438","131.180.190.41","131.180.164.100","TCP","1514","1947  >  49521 [ACK] Seq=10221 Ack=928 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"191","08:34:42.720438","131.180.190.41","131.180.164.100","TCP","1514","1947  >  49521 [ACK] Seq=11681 Ack=928 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"192","08:34:42.720546","131.180.164.100","131.180.190.41","TCP","54","49521  >  1947 [ACK] Seq=928 Ack=13141 Win=262656 Len=0"
"193","08:34:42.720597","131.180.190.41","131.180.164.100","TCP","1514","1947  >  49521 [ACK] Seq=13141 Ack=928 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"194","08:34:42.720640","131.180.164.100","131.180.190.41","TCP","54","49521  >  1947 [ACK] Seq=928 Ack=14601 Win=262656 Len=0"
"195","08:34:42.720949","131.180.190.41","131.180.164.100","TCP","1514","1947  >  49521 [ACK] Seq=14601 Ack=928 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"196","08:34:42.720949","131.180.190.41","131.180.164.100","TCP","1514","1947  >  49521 [ACK] Seq=16061 Ack=928 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"197","08:34:42.721008","131.180.164.100","131.180.190.41","TCP","54","49521  >  1947 [ACK] Seq=928 Ack=17521 Win=262656 Len=0"
"198","08:34:42.721044","131.180.190.41","131.180.164.100","TCP","1514","1947  >  49521 [ACK] Seq=17521 Ack=928 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"199","08:34:42.721044","131.180.190.41","131.180.164.100","TCP","1514","1947  >  49521 [ACK] Seq=18981 Ack=928 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"200","08:34:42.721044","131.180.190.41","131.180.164.100","HTTP","1039","HTTP/1.1 200 OK  (text/plain)"
"201","08:34:42.721090","131.180.164.100","131.180.190.41","TCP","54","49521  >  1947 [ACK] Seq=928 Ack=21427 Win=262656 Len=0"
"202","08:34:42.723916","131.180.164.100","131.180.190.41","TCP","54","49521  >  1947 [FIN, ACK] Seq=928 Ack=21427 Win=262656 Len=0"
"203","08:34:42.724335","131.180.190.41","131.180.164.100","TCP","60","1947  >  49521 [ACK] Seq=21427 Ack=929 Win=2102272 Len=0"
"204","08:34:42.735690","UkGridSo_0c:23:76","Iec-Tc57_01:00:20","GOOSE","174",""
"205","08:34:42.781808","131.180.164.81","224.0.0.107","PTPv2","96","Peer_Delay_Req Message"
"206","08:34:42.785508","131.180.164.29","224.0.0.107","PTPv2","96","Peer_Delay_Resp Message"
"207","08:34:42.891496","SiemensE_05:30:6d","Iec-Tc57_01:00:01","GOOSE","169",""
"208","08:34:42.959797","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"209","08:34:42.965334","131.180.164.29","224.0.0.107","PTPv2","96","Peer_Delay_Req Message"
"210","08:34:42.965565","131.180.164.81","224.0.0.107","PTPv2","96","Peer_Delay_Resp Message"
"211","08:34:42.965643","131.180.164.81","224.0.0.107","PTPv2","96","Peer_Delay_Resp_Follow_Up Message"
"212","08:34:42.984543","131.180.164.100","131.180.166.200","TLSv1.2","1249","Application Data"
"213","08:34:42.995513","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1626 Ack=32884 Win=8212 Len=0"
"214","08:34:43.023180","UkGridSo_0c:6d:7a","Iec-Tc57_01:00:00","GOOSE","181",""
"215","08:34:43.083431","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"216","08:34:43.117838","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"217","08:34:43.117885","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"218","08:34:43.117915","131.180.164.100","131.180.166.200","TLSv1.2","838","Application Data"
"219","08:34:43.117962","131.180.164.100","131.180.166.200","TLSv1.2","105","Application Data"
